lemma_id,lemma,in_model,nhg_infinitive,reason,spellings_tried
229,bachen,no,,no modern infinitive found in DWDS or UniMorph,bachen|ge-bachen
52,bersten,no,bersten,no UniMorph entry for the resolved infinitive 'bersten',bersten|brësten|brësten/abe<+|brësten/ûz<.+|brësten/ûz>+|durh-brësten|ent-brësten|ge-brësten|gebresten|zer-brësten
232,binten,no,,no modern infinitive found in DWDS or UniMorph,be-binten|binten|binten/abe+|binten/abe<.+|binten/abe>+|binten/ane+|binten/ane<+|binten/ane>+|binten/ane>.+|binten/umbe+|binten/umbe<.+|binten/umbe>+|binten/zuo>+|binten/ûf+|binten/ûf<+|binten/ûf<.+|binten/ûf>+|binten/ûz>+|binten/über(e)+|ent-binten|er-binten|ge-binten|ge-binten/ane>+|ge-binten/umbe+|ge-binten/ûf>+|unter-binten|ver-binten
277,biten,no,,no modern infinitive found in DWDS or UniMorph,biten|biten/ane>+|er-biten|er-biten/ane<.+|ge-biten|voll-biten
281,blanten,no,,no modern infinitive found in DWDS or UniMorph,blanten|en-blanten
282,bliuwen,no,,no modern infinitive found in DWDS or UniMorph,bliuwen|ver-bliuwen|zer-bliuwen
283,blîchen,no,,no modern infinitive found in DWDS or UniMorph,blîchen|blîchen/ane+|er-blîchen|ver-blîchen|über-blîchen
293,bunnen,no,,no modern infinitive found in DWDS or UniMorph,bunnen|en-bunnen|ent-bunnen|er-bunnen|ver-bunnen
295,bëlgen,no,,no modern infinitive found in DWDS or UniMorph,bëlgen|er-bëlgen|ver-bëlgen
296,bëren,no,,no modern infinitive found in DWDS or UniMorph,bër(e)n|bër(e)n/ane>+|bër(e)n/în>+|bëren|ent-bër(e)n|ent-bëren|er-bër(e)n|er-bëren|ge-bër(e)n|ge-bër(e)n/ane+|ge-bër(e)n/ane<+|ge-bër(e)n/ane>+|ge-bër(e)n/wider(e)>+|ge-bëren|ver-bër(e)n|ver-bëren|wider-bër(e)n|wider-bëren
